"Código genérico";"Nombre producto genérico";"Descripción producto genérico";"Tipo producto";"Código ONU";"Clasificación ONU";"Clasificación interna";"Estado Código genérico";"Canasta Esencial de Medicamentos";precio
100000827;"INTRODUCTOR 10 FR P/MARCAP./ SWAN-GANS";"INTRODUCTOR 10 FR C/FUNDA P/SONDA MARCAPASO TRANSITORIO  SWAN-GANS CATETER VENOSO CENTRAL. SET: GUIA  DILATADOR  VALVULA HEMOSTATICA.ENVASE INDIVIDUAL ESTERIL CON SELLO QUE ASEGURE INVIOLABILIDAD DELCONTENIDO";Insumos;42203501;"Accesorios o defibri";"Marcapasos cardiacos y relacionados";inactivo;0;17064
100000828;"IOHEXOL 300 MG/1 ML SOL.INY. FAM";"IOHEXOL 300 MG/1 ML  SOLUCION INYECTABLE PARA ADMINISTRACION INTRATECAL-INTRAVASCULAR  FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Fármacos;51212309;"Ioxaglato de meglumi";"Radiofármacos y agentes de diagnóstico";inactivo;0;48130
100000829;"IPRATROPIO 0 25MG/ML  SOL P/NEB FRA 20ML";"IPRATROPIO 0 25 MG/ML SOLUCION PARA NEBULIZAR FRASCO GOTARIO 20 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.";Fármacos;51161705;"Bromuro de ipratropi";Antiasmáticos;activo;1;59789
100000830;"IPRATROPIO 20MCG/DO S/CFC FRA 200-270 DO";"IPRATROPIO 20 MCG/DOSIS INHALADOR PRESURIZADO LIBRE CFC FRASCO 200 A 270DOSIS. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. PRECIO SERA EVALUADO POR DOSIS. COTIZAR POR FRASCO.";Fármacos;51161705;"Bromuro de ipratropi";Antiasmáticos;activo;1;36872
100000831;"ISOFLURANO FRA 100 ML P/INHALACION";"ISOFLURANO LIQUIDO VOLATIL PARA INHALACION FRASCO 100 ML. PROVEEDORADJUDICADO DEBERA SUMINISTRAR A LOS DISTINTOS ESTABLECIEMIENTODEMANADANTES  LOS VAPORIZADORES DE MAQUINAS DE ANESTESIATERMOCOMPENSADOS EN COMODATO NECESARIOS PARA ADMINISTRAR ISOFLURANO.ENV";Fármacos;51142919;Isoflurano;"Anestésicos  analépticos y relacionados";inactivo;0;38420
100000832;"ISOFLURANO FRA 250 ML P/INHALACION";"ISOFLURANO LIQUIDO VOLATIL PARA INHALACION FRASCO 250 ML. PROVEEDORADJUDICADO DEBERA SUMINISTRAR A LOS DISTINTOS ESTABLECIEMIENTODEMANADANTES  LOS VAPORIZADORES DE MAQUINAS DE ANESTESIATERMOCOMPENSADOS EN COMODATO NECESARIOS PARA ADMINISTRAR ISOFLURANO.ENV";Fármacos;51142919;Isoflurano;"Anestésicos  analépticos y relacionados";inactivo;0;44511
100000833;"ISONIAZIDA 100 MG CM/CM REC";"ISONIAZIDA 100 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTERO CELOFAN. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.";Fármacos;51102003;Isoniacida;Antituberculosos;activo;1;22693
100000834;"ISOPROTERENOL 1 MG SOL. INY. AM/FAM";"ISOPROTERENOL 1 MG SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA - INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.";Fármacos;51151706;Isoproterenol;"Simpatomiméticos (adrenérgicos)";activo;0;17613
100000835;"ISOSORBIDE DINITRATO CM  SUBLINGUAL 5 MG";"BARICITINIB 4 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR COMPRIMIDO RECUBIERTO.";Fármacos;;;"Medicamentos y Productos Farmacéuticos";inactivo;0;4876
100000836;"ISOSORBIDE DINITRATO 10 MG CM/CM REC";"ISOSORBIDE DINITRATO 10 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDOS";Fármacos;51121602;"Dinitrato de Isosorb";Antianginosos;inactivo;0;1064
100000837;"ITRACONAZOL 100 MG CP";"ITRACONAZOL 100 MG CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.";Fármacos;51101810;Itraconazol;"Fungicidas o antimicóticos";activo;1;32813
100000838;"JER INS 1 ML 100 UI/A. FIJA 29-30G X 8MM";"JERINGA 1ML (100 UI) PARA INSULINA CON AGUJA FIJA 29 A 30 G X 8 MM LARGOCON TOPE DE GOMA  GRADUACION VISIBLE  EMBOLO CON LUBRICACION DESECHEBLE  LIBRE DE LATEX. ROTULO DEBE SEÑALAR DESECHABLE.CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O E";Insumos;42142609;"Jeringas médicas con";"Dispositivos y accesorios médicos";activo;0;6566
100000839;"JERINGA 10 ML BAJA RESISTENCIA (ANEST)";"JERINGA BAJA RESISTENCIA 8 A 10 ML (PARA ESPACIO EPIDURAL) ESTERIL DESECHABLE  LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL  DESECHABLE.CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O ENCERTIFICADO EMITIDO POR EL FABRICANTE. ENVASE INDIVIDUAL";Insumos;42142509;"Accesorios o bandeja";"Jeringas y accesorios";inactivo;0;32803
100000840;"JERINGA 10 ML C/AG 21G X1 5 LUER SLIP";"JERINGA 10 ML CON AGUJA 21G X 1 5 PULGADAS  PUNTA LUER SLIP CON TOPE DEGOMA  DESECHABLE  ESTERIL  LIBRE LATEX. ROTULO DEBE SEÑALAR DESECHABLE ESTERIL  NUMERO DE REGISTRO SANITARIO. CARACTERISTICA LIBRE DE LATEXRESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICAD";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;3545
100000841;"JERINGA 1ML GRAD 0 01ML BAJO ESP MUER TD";"JERINGA 1 ML BAJO ESPACIO MUERTO (LDS) TRANSPARENTE GRADUADA CADA 0 01MLCON AGUJA HIPODERMICA FIJA O INTERCAMBIABLE DE 23G X 1 PULGADA O 25GX 1PULGADA CON TOPE DE GOMA  EMBOLO RESISTENTE A LA TRACCION. PARA USOVACUNACION COVID-19. DESECHABLE  ESTERIL  LIBR";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;3194
100000842;"JERINGA 10 ML C/AG. 21G X1 5 LUER LOCK";"JERINGA 10 ML CON AGUJA 21G X 1 5 PULGADAS  PUNTA LUER LOCK CON TOPE DEGOMA  DESECHABLE  ESTERIL  LIBRE LATEX. ROTULO DEBE SEÑALAR DESECHABLE ESTERIL  NUMERO DE REGISTRO SANITARIO. CARACTERISTICA LIBRE DE LATEXRESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICAD";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;2988
100000843;"JERINGA 2 5 A 3 ML C/AG 21G X 1 5 L-SLIP";"JERINGA DESECHABLE 2 5 A 3 ML CON AGUJA 21 G X 1 5PULGADA PUNTA LUER SLIP CON TOPE DE GOMA LIBRE LATEX ENVASE INDIVIDUAL ESTERIL RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;2210
100000844;"JERINGA 20 ML C/AG. 21GX 1 5 LUER LOCK";"JERINGA 20 ML CON AGUJA 21G X 1 5 PULGADAS  PUNTA LUER LOCK CON TOPEDEGOMA  DESECHABLE  ESTERIL  LIBRE LATEX. ROTULO DEBE SEÑALARDESECHABLE ESTERIL  NUMERO DE REGISTRO SANITARIO. CARACTERISTICA LIBREDE LATEX RESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO ";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;3032
100000845;"JERINGA 20 ML S/AGUJA PUNTA LUER SLIP";"JERINGA 20 ML GRADUADA SIN AGUJA PUNTA LUER SLIP CON TOPE DE GOMA  ESTERIL  DESECHABLE  LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL  DESECHABLE. CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO EMITIDO POR EL FABRICANTE. ENVASE";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;3472
100000846;"JERINGA 20 ML S/AGUJA PUNTA LUER LOCK";"JERINGA 20 ML GRADUADA SIN AGUJA PUNTA LUER LOCK CON TOPE DE GOMA ESTERIL  DESECHABLE  LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL DESECHABLE. CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGENO EN CERTIFICADO EMITIDO POR EL FABRICANTE. ENVASE IN";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;1953
100000847;"JERINGA 2-3 CC C/AG 21 G X 1.5 PULG LUER";"JERINGA DESECHABLE PUNTA LUER CON AGUJA CAPACIDAD NOMINAL 2-3 CC CONTOPE DE GOMA CALIBRE AGUJA 21 G LARGO AGUJA 1.5PULGADA ENVASE INDIVIDUAL ESTERIL.";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;1347
100000848;"JERINGA 2 5-3 ML C/AG 21G X 1 5 L-LOCK";"JERINGA 2 5 A 3 ML CON AGUJA 21G X 1 5 PULGADAS  PUNTA LUER LOCK CONTOPE DE GOMA  DESECHABLE  ESTERIL  LIBRE LATEX. ROTULO DEBE SEÑALARDESECHABLE  ESTERIL  NUMERO DE REGISTRO SANITARIO. CARACTERISTICA LIBREDE LATEX RESPALDADO EN ROTULO DE ORIGEN O EN CERTI";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;1562
100000849;"JERINGA 2 5-3 ML C/AG 23 GX1 PULG L-SLIP";"JERINGA DESECHABLE 2 5 A 3 ML CON AGUJA 23 G X 1PULGADA PUNTA LUER SLIPCON TOPE DE GOMA. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;1977
100000850;"JERINGA 2 5 A 3MLC/AG 23GX1 L-LOCK";"JERINGA 2 5 A 3 ML CON AGUJA 23 G X 1 PULGADA PUNTA LUER LOCK CON TOPEDE GOMA  GRADUADA CADA 0 1ML. ESTERIL  DESECHABLE  LIBRE DE LATEX.ROTULO DEBE SEÑALAR ESTERIL  DESECHABLE. CARACTERISTICA LIBRE DE LATEXRESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO EM";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;1604
100000851;"JERINGA 5 A 7 ML BAJA RESISTENCIA";"JERINGA DESECHABLE 5 A 7 ML BAJA RESISTENCIA (P/ESPACIO EPIDURAL). ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO.";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;2248
100000852;"JERINGA 5 ML C/AG 21 G X 1 5 LUER SLIP";"JERINGA 5 ML CON AGUJA 21G X 1 5 PULGADAS  PUNTA LUER SLIP CON TOPE DEGOMA  DESECHABLE  ESTERIL  LIBRE LATEX. ROTULO DEBE SEÑALAR DESECHABLE ESTERIL  NUMERO DE REGISTRO SANITARIO. CARACTERISTICA LIBRE DE LATEXRESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;1337
100000853;"JERINGA 5 ML C/AG 21 G X 1 5 LUER LOCK";"JERINGA 5 A 6 ML CON AGUJA 21G X 1 5 PULGADAS  PUNTA LUER LOCK CON TOPEDE GOMA  DESECHABLE  ESTERIL  LIBRE LATEX. ROTULO DEBE SEÑALAR DESECHABLE  ESTERIL  NUMERO DE REGISTRO SANITARIO. CARACTERISTICA LIBRE DE LATEXRESPALDADO EN ROTULO DE ORIGEN O EN CERTIF";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;1864
100000854;"JERINGA 5 CC C/TOPE GOMA S/AGUJA";"JERINGA DESECHABLE 5 ML CON TOPE GOMA SIN AGUJA ENVASE INDIVIDUALESTERIL CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;2615
100000855;"JERINGA 50 A 60 ML PUNTA CATETER DESECH";"JERINGA 50 A 60 ML PUNTA CATETER GRADUADA CON TOPE DE GOMA  ESTERIL DESECHABLE  LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL  DESECHABLE.CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O ENCERTIFICADO EMITIDO POR EL FABRICANTE. ENVASE INDIVIDUA";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;1568
100000856;"JERINGA 50 A 60 ML PUNTA LUER SLIP";"JERINGA 50 A 60 ML LUER-SLIP CON TOPE DE GOMA LIBRE LATEX DESECHABLEENVASE INDIVIDUAL ESTERIL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO.";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;1829
100000857;"JERINGA 50-60 CC PUNTA LUER SLIP EXCENT";"JERINGA DESECHABLE 50-60 ML PUNTA LUER SLIP EXCENTRICA ENVASE INDIVIDUALESTERIL CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;2085
100000858;"JERINGA 50 A 60ML LUER LOCK P/B INFUSION";"JERINGA PARA BOMBA DE INFUSION 50 A 60 ML GRADUADA PUNTA LUER LOCK SINAGUJA CON TOPE DE GOMA  ESTERIL  DESECHABLE  LIBRE DE LATEX. ROTULO DEBESEÑALAR ESTERIL  DESECHABLE. CARACTERISTICA LIBRE DE LATEX RESPALDADO ENROTULO DE ORIGEN O EN CERTIFICADO EMITIDO ";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";activo;0;2715
100000859;"JERINGA DENTAL CARPULE";"JERINGA DENTAL CARPULE CON MANGO ACODADO ARTICULADO PARA USO CON TUBO DE 1.8 ML EMBOLO TERMINACION PLANA ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Insumos;42152508;"Jeringas dentales o";"Jeringas y accesorios";inactivo;0;58496
100000860;"MILTEFOSINA 50 MG CP";"MILTEFOSINA 50 MG CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTECONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR PORCAPSULA.";Fármacos;51101603;Metronidazol;"Antihelmínticos y otros antiparasitarios";activo;0;25298
100000861;"JERINGA INSULINA 1 ML/100 UI C/AG INTERC";"JERINGA DESECHABLE PARA INSULINA 1 ML (100 UI) CON AGUJA INTERCAMBIABLE27 A 30 G X 0 5PULGADA PUNTA LUER-SLIP CON TOPE DE GOMA LIBRE LATEX ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;3726
100000862;"JERINGA INSULINA 0 5 ML/50 UI C/AG FIJA";"JERINGA DESECHABLE PARA INSULINA 0 5 ML (50 UI) CON AGUJA FIJA 30 A 31G 8MM LARGO CON TOPE DE GOMA LIBRE LATEX  ENVASE INDIVIDUAL ESTERILRESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Insumos;42142609;"Jeringas médicas con";"Jeringas y accesorios";inactivo;0;2349
100000863;"JERINGA TUBERCULINA 1ML C/AG 27 G X 1/2";"JERINGA DESECHABLE PARA TUBERCULINA 1 ML CON AGUJA INTERCAMBIABLE 27 GX0 5PULGADA PUNTA LUER SLIP CON TOPE DE GOMA LIBRE DE LATEX ENVASE INDIVIDUALESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Insumos;42142611;"Jeringas tuberculina";"Jeringas y accesorios";inactivo;0;48335
100000864;"KANAMICINA 1000 MG SULF. POLV O LIOF FAM";"KANAMICINA SULFATO 1000 MG POLVO O POLVO LIOFILIZADO PARA SOLUCIONINYECTABLE FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO.";Fármacos;51101587;Kanamicina;Antituberculosos;inactivo;0;8634
100000865;"KETAMINA 500 MG/10 ML SOL. INY. FAM";"KETAMINA 500 MG/10ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA  E INTRAMUSCULAR FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.";Psicotrópicos;51142934;"Clorhidrato de ketam";"Anestésicos  analépticos y relacionados";activo;1;20641
100000866;"KETOCONAZOL 200 MG CM";"KETOCONAZOL 200 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Fármacos;51101811;Ketoconazol;"Fungicidas o antimicóticos";inactivo;0;22708
100000867;"KETOPROFENO 100MG SOL INY/LIO AM/JRP/FAM";"KETOPROFENO 50MG/ML SOLUCION INYECTABLE ENVASE 2 ML O 100 MG LIOFILIZADOPARA SOLUCION INYECTABLE  PARA ADMINISTRACION INTRAVENOSA  AMPOLLA OJERINGA PRELLENADA O FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUEASEGURELA INVIOLABILIDAD DEL CONTENIDO. COTIZAR ";Fármacos;51142108;Ketoprofeno;"Analgésico Antinflamatorio";activo;1;40320
100000868;"KETOPROFENO 100 MG CM REC ENTERICO";"KETOPROFENO 100 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDOS.";Fármacos;51142108;Ketoprofeno;"Analgésico Antinflamatorio";inactivo;0;20856
100000869;"KETOPROFENO 200 MG CM REC LIB PROLONGADA";"KETOPROFENO 200 MG COMPRIMIDO RECUBIERTO LIBERACION PROLONGADA ENVASADOEN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Fármacos;51142108;Ketoprofeno;"Analgésico Antinflamatorio";inactivo;0;11255
100000870;"KETOPROFENO 50MG CM/CM REC/CP";"KETOPROFENO 50 MG CAPSULA O COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADOEN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO O COMPRIMIDO RECUBIERTO.";Fármacos;51142108;Ketoprofeno;"Analgésico Antinflamatorio";inactivo;0;9236
100000871;"KETOROLACO 30 MG/ML SOL.INY. AM/FAM 1 ML";"KETOROLACO 30 MG/ML SOLUCION INYECTABLE PARA ADMINISTRACIÓN INTRAVENOSAE INTRAMUSCULAR AMPOLLA O FRASCO AMPOLLA 1 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.";Fármacos;51142123;"Ketorolaco trometamo";"Analgésico Antinflamatorio";activo;1;10718
100000872;"KIT 25-30 DET.CROMAT VIRUS INFLUENZA A+B";"KIT DETERMINACION CROMATOGRAFICO RAPIDO PARA DETECCION DEL VIRUSINFLUENZA A+B. KIT 25 A 30 DETERMINACIONES. CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO.";Insumos;41116144;"Kits de ensayo virol";"Kit de diagnóstico";inactivo;0;37975
100000873;"DISPOSITIVO ASISTENCIA VENTRICULAR HM3";"DISPOSITIVO ASISTENCIA VENTRICULAR HM3. DEBE SER HEMATOLOGICAMENTECOMPATIBLE: TOTALMENTE LEVITADO MAGNETICAMENTE  AMPLIOS ESPACIOSINTERIORES DE BOMBA DISEÑADOS PARA REDUCIR EL TRAUMA SANGUINEO   PULSOARTIFICIAL  SUPERFICIES TEXTURIZADAS DE CONTACTO CON LA ";Insumos;;;"Kit de diagnóstico";inactivo;0;5701
100000874;"KIT 48 DET. A-CUERPO IGG VIRUS PAROTIDIT";"KIT P/ENSAYO INMUNO ENZIMATICO PARA LA DETERMINACION CUALITATIVA YCUANTITATIVA DE LOS ANTICUERPOS IGG ESPECIFICOS CONTRA EL VIRUSDE LA PAROTIDITIS EN SUERO Y PLASMA HUMANO KIT DE 48 DET ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLAVILIDAD DEL CONTENIDO";Refrigerados;41116144;"Kits de ensayo virol";"Kit de diagnóstico";inactivo;0;44279
100000875;"KIT 48 DET. A-CUERPO IGM VIRUS PAROTIDIT";"KIT P/ENSAYO INMUNO ENZIMATICO PARA LA DETERMINACION CUALITATIVA Y CUANTITATIVA DE LOS ANTICUERPOS IGM ESPECIFICOS CONTRA EL VIRUSDE LA PAROTIDITIS EN SUERO Y PLASMA HUMANO KIT DE 48 DET ENVASE RESISTENTE SELLADO.";Refrigerados;41116144;"Kits de ensayo virol";"Kit de diagnóstico";inactivo;0;30603
100000876;"KIT ANESTESIA EPIDURAL 18 G";"KIT ANESTESIA EPIDURAL 18 G (TROCAR/CATETER/FILTRO/JERINGA BAJA PRESION)ENVASE INDIVIDUAL ESTERIL CON SELLO QUE ASEGURE LA INVIOLAVILIDAD DELCONTENIDO.";Insumos;42142509;"Accesorios o bandeja";"Kit de diagnóstico";inactivo;0;17518
100000877;"OSELTAMIVIR 6 MG/ML 60 A 70 ML FRASCO";"OSELTAMIVIR 6 MG/ML POLVO PARA SUSPENSION ORAL PARA PREPARAR 60 A 70 MLENVASADO EN FRASCO. ENVASE RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO. PRECIO SERA EVALUADO POR ML. COTIZAR PORFRASCO.";Fármacos;51102334;Zanamivir;Antivirales;activo;0;6720
100000878;"KIT C/PEROXIDASAS P/TEST ELISA IGG/IGM";"KIT REACTIVO SUPLEMENTARIO CON PEROXIDASAS PARA TEST ELISA IGG/IGMCONTRA EL VIRUS DE LA PAROTIDITIS ENVASE RESISTENTE CON SELLO QUEASEGURE INVIOLABILIDAD DEL CONTENIDO.";Refrigerados;41116144;"Kits de ensayo virol";"Dispositivos y accesorios médicos";inactivo;0;19741
100000879;"KIT CALCIO HIDROXIDO FRAGUADO QUIMICO";"HIDROXIDO DE CALCIO DE FRAGUADO QUIMICO  PASTA BASE 12 A 14 G. PASTACATALIZADORA 11 A 13 G. BLOCK PARA MEZCLAR ENVASE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO.";Insumos;42152503;"Suministros de dique";"Kit de diagnóstico";inactivo;0;18579
100000880;"ONASEMNOGENE ABEPARVOVEC SOL.PERF. FAM";"ONASEMNOGENE ABEPARVOVEC 2 × 10^13 GENOMAS VECTORIALES/ML SOLUCION PARAPERFUSIÓN FRASCO AMPOLLA. ENVASE RESISTENTE QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.";Refrigerados;41116104;"Kits de ensayo quími";"Otros medicamentos biológicos";activo;0;13110
100000881;"UPADACITINIB 30 MG CM LIB PROL";"UPADACITINIB 30 MG COMPRIMIDO DE LIBERACION PROLONGADA ENVASADO ENFRASCO HASTA 30 COMPRIMIDOS O BLISTER. ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR COMPRIMIDO DE LIBERACIONPROLONGADA.";Fármacos;51142145;Adalimumab;"Antiartrósico  antirreumático";activo;0;19075
100000882;"KIT DETERM. EMBARAZO EN ORINA X 1 DETERM";"KIT DETERMINACION EMBARAZO (TEST RAPIDO) HCG 25 MUI EN ORINA KIT 1 A 100 DETERMINACIONES. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR DETERMINACION.";Insumos;41116104;"Kits de ensayo quími";"Kit de diagnóstico";inactivo;0;7125
100000883;"KIT DETERMINACION INMUNOLOGIA";"KIT DETERMINACION INMUNOLOGIA";Insumos;41115819;"Analizadores inmunol";"Kit de diagnóstico";inactivo;0;48898
100000884;"KIT DETERMINACION ORINAS";"KIT DETERMINACION ORINAS";Insumos;41115827;"Analizadores de iono";"Kit de diagnóstico";inactivo;0;35645
100000885;"KIT DISCOS PULIR COMPOS. MED.-FINOS 1/2";"DISCOS P/PULIR COMPOSITE DE OXIDO DE ALUMINIO MEDIANOS Y FINOS 1/2PULGADAC/MANDRIL KIT 170 UD ENVASE RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO.";Insumos;42151805;"Discos de acabado o";"Dispositivos y accesorios médicos";inactivo;0;5803
100000886;"KIT DISCOS PULIR COMPOS. MED.-FINOS 3/8";"DISCOS PARA PULIR COMPOSITE DE OXIDO DE ALUMINIO  GRANOS MEDIANO YFINO TAMANO DE 3/8PULGADA (9.5 MM.)  SET DE 85 UD. DE CADA GRANO Y MANDRIL.ENVASE DEBIDAMENTE SELLADO.";Insumos;42151805;"Discos de acabado o";"Dispositivos y accesorios médicos";inactivo;0;2953
100000887;"UPADACITINIB 45 MG CM LIB PROL";"UPADACITINIB 45 MG COMPRIMIDO DE LIBERACION PROLONGADA ENVASADO ENFRASCO HASTA 30 COMPRIMIDOS O BLISTER. ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR COMPRIMIDO DE LIBERACIONPROLONGADA.";Fármacos;51142145;Adalimumab;"Antiartrósico  antirreumático";activo;0;26675
100000888;"ACIDO HIALURONI 20MG/2ML SOL.INY FAM/JRP";"MATERIAL UNIDAD DE ESTUDIOS: ACIDO HIALURONICO 20MG/2ML SOLUCIONINYECTABLE FRASCO AMPOLLA O JERINGA PRELLENADA. ENVASE RESISTENTECONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCOAMPOLLA O JERINGA PRELLENADA.";Fármacos;51142148;"Hialuronato sódico";"Antiartrósico  antirreumático";inactivo;0;17321
100000889;"KIT PASTA OXIDO ZINC 60 G - EUGENOL 65 G";"PASTA ZINQUENOLICA OXIDO ZINC 60 G EUGENOL 65 G KIT ENVASE RESISTENTECON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO.";Insumos;42152419;"Materiales de pasta";"Dispositivos y accesorios médicos";inactivo;0;41600
